year,title,description,image
1980,Bold synthetics shape expressive fashion.,Rise of synthetic fabrics,https://www.historydefined.net/wp-content/uploads/2024/07/80s32-736x1024.jpeg
1990,Minimalism and logo brands dominate.,Brand culture rises,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRTUHATBVuGfwLvChimF1o7Xruq4yghvv1N-A&s
2000,"Trends become cheap, fast, disposable.",Cheap mass production,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS2XcbW_NtN-Y-FhH2KaAaVS5yZLUTVx6P6JQ&s
2010,Influencers accelerates trend cycles.,Instagram trends dominate,"https://hips.hearstapps.com/hmg-prod/images/anna-rosa-vitiello-wearing-cycle-pants-olive-double-news-photo-1585059194.jpg?crop=0.86719xw:1xh;center,top&resize=1200:*"
2018,Gen Z brings thrifting back.,Depop + resale start booming,https://i.ytimg.com/vi/0HS_2vRUTg0/maxresdefault.jpg
2020,TikTok makes upcycling go viral.,Upcycling + thrift hauls,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSYiGGcDjC0TPHL99ooaNEN1YKi5HS4VEOG0Q&s
2025,Gen Z normalizes sustainable fashion and condems fast fashion.,Gen Z normalizes secondhand fashion,https://glance-web.glance-cdn.com/neighborhood_lifestyle_friends_2_142347d092.jpg
